Hour,date,Topic,tweets,Male,MaleHate,FemaleHate
0.0,01-01-2022,1,19,9,5,3
17.0,01-01-2022,0,87,32,14,20
7.0,01-01-2022,1,2,1,0,1
7.0,01-01-2022,2,1,0,0,0
7.0,01-01-2022,4,27,14,3,4
7.0,01-01-2022,5,19,6,1,2
8.0,01-01-2022,1,2,1,0,0
8.0,01-01-2022,4,15,9,3,0
8.0,01-01-2022,5,5,2,0,3
16.0,01-01-2022,0,149,76,16,18
9.0,01-01-2022,1,1,1,0,0
9.0,01-01-2022,4,8,5,0,0
9.0,01-01-2022,5,3,2,1,0
15.0,01-01-2022,0,110,58,16,5
6.0,01-01-2022,5,16,10,3,1
10.0,01-01-2022,1,1,1,1,0
10.0,01-01-2022,3,1,1,0,0
10.0,01-01-2022,4,3,1,1,0
10.0,01-01-2022,5,2,1,1,1
14.0,01-01-2022,0,100,59,29,5
11.0,01-01-2022,1,3,1,0,0
11.0,01-01-2022,4,14,7,1,1
11.0,01-01-2022,5,5,2,0,1
13.0,01-01-2022,0,82,47,18,9
12.0,01-01-2022,1,13,11,11,0
12.0,01-01-2022,2,2,2,0,0
12.0,01-01-2022,3,2,0,0,0
12.0,01-01-2022,4,23,10,5,0
12.0,01-01-2022,5,19,7,3,6
10.0,01-01-2022,2,1,1,0,0
12.0,01-01-2022,0,59,30,19,6
6.0,01-01-2022,4,46,19,6,6
6.0,01-01-2022,1,8,3,3,0
1.0,01-01-2022,2,5,2,0,0
1.0,01-01-2022,3,5,0,0,0
1.0,01-01-2022,4,67,31,3,2
1.0,01-01-2022,5,30,19,3,6
22.0,01-01-2022,0,110,54,19,15
2.0,01-01-2022,1,17,10,9,2
2.0,01-01-2022,2,2,0,0,0
2.0,01-01-2022,3,1,0,0,0
2.0,01-01-2022,4,62,37,11,4
2.0,01-01-2022,5,45,28,8,7
21.0,01-01-2022,0,108,45,14,13
3.0,01-01-2022,1,9,5,4,1
3.0,01-01-2022,2,3,0,0,0
6.0,01-01-2022,3,2,0,0,0
3.0,01-01-2022,3,4,1,0,0
3.0,01-01-2022,5,27,14,7,4
20.0,01-01-2022,0,91,41,11,11
4.0,01-01-2022,1,8,2,1,1
4.0,01-01-2022,3,1,1,0,0
4.0,01-01-2022,4,49,23,13,5
4.0,01-01-2022,5,27,18,2,3
19.0,01-01-2022,0,121,55,19,12
5.0,01-01-2022,1,6,2,1,0
5.0,01-01-2022,2,1,1,0,0
5.0,01-01-2022,3,3,2,0,0
5.0,01-01-2022,4,47,20,4,3
5.0,01-01-2022,5,18,10,4,4
18.0,01-01-2022,0,114,59,14,22
3.0,01-01-2022,4,50,20,11,8
1.0,01-01-2022,1,20,8,4,5
13.0,01-01-2022,1,13,7,6,2
13.0,01-01-2022,3,2,0,0,0
19.0,01-01-2022,1,7,3,3,0
19.0,01-01-2022,2,7,3,0,0
19.0,01-01-2022,3,2,1,0,0
19.0,01-01-2022,4,67,28,5,4
19.0,01-01-2022,5,38,20,11,8
5.0,01-01-2022,0,75,35,9,7
20.0,01-01-2022,1,9,6,2,1
20.0,01-01-2022,2,6,3,1,0
20.0,01-01-2022,3,2,0,0,0
20.0,01-01-2022,4,47,22,6,1
20.0,01-01-2022,5,27,10,2,9
4.0,01-01-2022,0,85,44,16,9
21.0,01-01-2022,1,10,4,2,0
6.0,01-01-2022,0,72,32,12,7
21.0,01-01-2022,2,4,3,1,0
21.0,01-01-2022,4,49,16,5,4
21.0,01-01-2022,5,42,22,6,9
3.0,01-01-2022,0,93,40,22,13
22.0,01-01-2022,1,17,8,7,0
22.0,01-01-2022,2,6,3,0,0
22.0,01-01-2022,4,48,30,8,5
22.0,01-01-2022,5,39,13,4,10
2.0,01-01-2022,0,127,75,28,13
23.0,01-01-2022,1,8,4,3,1
23.0,01-01-2022,2,11,1,0,0
23.0,01-01-2022,4,37,14,2,2
23.0,01-01-2022,5,54,19,8,20
1.0,01-01-2022,0,127,60,10,13
21.0,01-01-2022,3,3,0,0,0
13.0,01-01-2022,2,8,8,1,0
18.0,01-01-2022,5,42,20,7,15
18.0,01-01-2022,3,3,1,0,0
13.0,01-01-2022,4,28,17,5,0
13.0,01-01-2022,5,31,15,6,7
11.0,01-01-2022,0,22,10,1,2
14.0,01-01-2022,1,16,13,10,0
14.0,01-01-2022,2,9,9,0,0
14.0,01-01-2022,3,3,0,0,0
14.0,01-01-2022,4,44,23,8,2
14.0,01-01-2022,5,28,14,11,3
10.0,01-01-2022,0,8,5,3,1
15.0,01-01-2022,1,8,5,5,0
15.0,01-01-2022,2,18,17,3,0
15.0,01-01-2022,3,1,0,0,0
15.0,01-01-2022,4,56,24,5,2
18.0,01-01-2022,4,50,26,5,7
15.0,01-01-2022,5,27,12,3,3
16.0,01-01-2022,1,19,7,6,2
16.0,01-01-2022,2,8,7,0,0
16.0,01-01-2022,3,1,1,0,0
16.0,01-01-2022,4,77,45,4,2
16.0,01-01-2022,5,44,16,6,14
8.0,01-01-2022,0,22,12,3,3
17.0,01-01-2022,1,11,1,1,1
